content_id,section,key,value,language
terms_accuracy_text,terms,accuracy_text,"We strive to provide accurate and up-to-date information, but we cannot guarantee the accuracy, completeness, or timeliness of all data. NHS waiting times and private surgery costs may change. We update our data weekly, but you should verify current information with relevant sources.",en
terms_liability_title,terms,liability_title,Limitation of Liability,en
terms_liability_text,terms,liability_text,"Compare The Wait shall not be liable for any damages arising from your use of this website or reliance on the information provided. We are not responsible for any decisions you make based on information from this website.",en
terms_third_title,terms,third_title,Third-Party Links,en
terms_third_text,terms,third_text,"Our website may contain links to third-party websites (such as clinic websites). We are not responsible for the content or privacy practices of these external sites.",en
terms_ip_title,terms,ip_title,Intellectual Property,en
terms_ip_text,terms,ip_text,"The content on this website, including text, graphics, and logos, is the property of Compare The Wait and is protected by copyright laws. You may not reproduce or distribute this content without permission.",en
terms_changes_title,terms,changes_title,Changes to Terms,en
terms_changes_text,terms,changes_text,"We reserve the right to modify these Terms of Service at any time. Your continued use of the website after changes are posted constitutes acceptance of the modified terms.",en
terms_contact_title,terms,contact_title,Contact Us,en
terms_contact_text,terms,contact_text,"If you have questions about these Terms of Service, please contact us through our website.",en

