clinic_id,name,city,procedure_id,price,url,phone,last_updated
ramsay_london_hip,Ramsay Health Care London Orthopaedic Centre,London,hip,14600,https://ramsayhealth.co.uk/london-ortho,020-7935-7733,2025-11-05
hca_london_hip,HCA Healthcare London Orthopaedic Hospital,London,hip,15200,https://hcahealthcare.co.uk/london-ortho,020-7886-1234,2025-11-05
circle_manchester_hip,Circle Health Manchester Orthopaedic Centre,Manchester,hip,13800,https://circlehealthcare.co.uk/manchester-hip,0161-234-5678,2025-11-05
spire_manchester_hip,Spire Manchester Hospital Orthopaedics,Manchester,hip,14200,https://spirehealthcare.com/manchester-ortho,0161-495-7000,2025-11-05
nuffield_manchester_hip,Nuffield Health Manchester Orthopaedic Hospital,Manchester,hip,14000,https://nuffieldhealth.com/hospitals/manchester-ortho,0161-236-8888,2025-11-05
ramsay_manchester_hip,Ramsay Health Care Manchester Orthopaedic Centre,Manchester,hip,13800,https://ramsayhealth.co.uk/manchester-ortho,0161-276-1234,2025-11-05
circle_birmingham_hip,Circle Health Birmingham Orthopaedic Centre,Birmingham,hip,14000,https://circlehealthcare.co.uk/birmingham-hip,0121-234-5678,2025-11-05
spire_birmingham_hip,Spire Birmingham Hospital Orthopaedics,Birmingham,hip,14400,https://spirehealthcare.com/birmingham-ortho,0121-495-7000,2025-11-05
nuffield_birmingham_hip,Nuffield Health Birmingham Orthopaedic Hospital,Birmingham,hip,14200,https://nuffieldhealth.com/hospitals/birmingham-ortho,0121-236-8888,2025-11-05
ramsay_birmingham_hip,Ramsay Health Care Birmingham Orthopaedic Centre,Birmingham,hip,13900,https://ramsayhealth.co.uk/birmingham-ortho,0121-345-6789,2025-11-05
circle_leeds_hip,Circle Health Leeds Orthopaedic Centre,Leeds,hip,13800,https://circlehealthcare.co.uk/leeds-hip,0113-234-5678,2025-11-05
spire_leeds_hip,Spire Leeds Hospital Orthopaedics,Leeds,hip,14200,https://spirehealthcare.com/leeds-ortho,0113-495-7000,2025-11-05
nuffield_leeds_hip,Nuffield Health Leeds Orthopaedic Hospital,Leeds,hip,14000,https://nuffieldhealth.com/hospitals/leeds-ortho,0113-236-8888,2025-11-05
circle_bristol_hip,Circle Health Bristol Orthopaedic Centre,Bristol,hip,14000,https://circlehealthcare.co.uk/bristol-hip,0117-234-5678,2025-11-05
spire_bristol_hip,Spire Bristol Hospital Orthopaedics,Bristol,hip,14400,https://spirehealthcare.com/bristol-ortho,0117-495-7000,2025-11-05
nuffield_bristol_hip,Nuffield Health Bristol Orthopaedic Hospital,Bristol,hip,14200,https://nuffieldhealth.com/hospitals/bristol-ortho,0117-236-8888,2025-11-05
circle_london_knee,Circle Health London Orthopaedic Centre,London,knee,14500,https://circlehealthcare.co.uk/knee-replacement,0203-145-9000,2025-11-05
spire_london_knee,Spire London Hospital Orthopaedics,London,knee,15000,https://spirehealthcare.com/london-orthopaedics,020-7317-7711,2025-11-05
nuffield_london_knee,Nuffield Health London Orthopaedic Hospital,London,knee,14800,https://nuffieldhealth.com/hospitals/london-ortho,020-7467-8888,2025-11-05
ramsay_london_knee,Ramsay Health Care London Orthopaedic Centre,London,knee,14600,https://ramsayhealth.co.uk/london-ortho,020-7935-7733,2025-11-05
hca_london_knee,HCA Healthcare London Orthopaedic Hospital,London,knee,15200,https://hcahealthcare.co.uk/london-ortho,020-7886-1234,2025-11-05
circle_manchester_knee,Circle Health Manchester Orthopaedic Centre,Manchester,knee,13800,https://circlehealthcare.co.uk/manchester-knee,0161-234-5678,2025-11-05
spire_manchester_knee,Spire Manchester Hospital Orthopaedics,Manchester,knee,14200,https://spirehealthcare.com/manchester-ortho,0161-495-7000,2025-11-05
nuffield_manchester_knee,Nuffield Health Manchester Orthopaedic Hospital,Manchester,knee,14000,https://nuffieldhealth.com/hospitals/manchester-ortho,0161-236-8888,2025-11-05
ramsay_manchester_knee,Ramsay Health Care Manchester Orthopaedic Centre,Manchester,knee,13800,https://ramsayhealth.co.uk/manchester-ortho,0161-276-1234,2025-11-05
circle_birmingham_knee,Circle Health Birmingham Orthopaedic Centre,Birmingham,knee,14000,https://circlehealthcare.co.uk/birmingham-knee,0121-234-5678,2025-11-05
spire_birmingham_knee,Spire Birmingham Hospital Orthopaedics,Birmingham,knee,14400,https://spirehealthcare.com/birmingham-ortho,0121-495-7000,2025-11-05
nuffield_birmingham_knee,Nuffield Health Birmingham Orthopaedic Hospital,Birmingham,knee,14200,https://nuffieldhealth.com/hospitals/birmingham-ortho,0121-236-8888,2025-11-05
ramsay_birmingham_knee,Ramsay Health Care Birmingham Orthopaedic Centre,Birmingham,knee,13900,https://ramsayhealth.co.uk/birmingham-ortho,0121-345-6789,2025-11-05
circle_leeds_knee,Circle Health Leeds Orthopaedic Centre,Leeds,knee,13800,https://circlehealthcare.co.uk/leeds-knee,0113-234-5678,2025-11-05
spire_leeds_knee,Spire Leeds Hospital Orthopaedics,Leeds,knee,14200,https://spirehealthcare.com/leeds-ortho,0113-495-7000,2025-11-05
nuffield_leeds_knee,Nuffield Health Leeds Orthopaedic Hospital,Leeds,knee,14000,https://nuffieldhealth.com/hospitals/leeds-ortho,0113-236-8888,2025-11-05
circle_bristol_knee,Circle Health Bristol Orthopaedic Centre,Bristol,knee,14000,https://circlehealthcare.co.uk/bristol-knee,0117-234-5678,2025-11-05
spire_bristol_knee,Spire Bristol Hospital Orthopaedics,Bristol,knee,14400,https://spirehealthcare.com/bristol-ortho,0117-495-7000,2025-11-05
nuffield_bristol_knee,Nuffield Health Bristol Orthopaedic Hospital,Bristol,knee,14200,https://nuffieldhealth.com/hospitals/bristol-ortho,0117-236-8888,2025-11-05

